sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
0,1785929196267,0,0,0,-1,699040,0
1,1785929196277,163208,0,517818,0,507079,0
2,1785929196287,163250,0,517786,0,506968,0
3,1785929196301,163297,0,517780,0,506971,0
4,1785929196306,163326,0,517788,0,506917,0
5,1785929196317,163401,0,517798,0,506869,0
6,1785929196326,163393,0,517814,0,506883,0
7,1785929196337,163481,0,517851,0,506903,0
8,1785929196353,163554,0,517871,0,506920,0
9,1785929196357,163526,0,517871,0,506903,0
10,1785929196367,163595,0,517929,0,506905,0
11,1785929196377,163698,0,517931,0,506872,0
12,1785929196387,163792,0,517939,0,506907,0
13,1785929196400,163756,0,517965,0,506957,0
14,1785929196406,163823,0,518017,0,506944,0
15,1785929196417,163898,0,518041,0,506977,0
16,1785929196426,163909,0,518057,0,506959,0
17,1785929196437,163951,0,518046,0,506958,0
18,1785929196450,163992,0,518035,0,506999,0
19,1785929196457,164026,0,518067,0,506993,0
20,1785929196467,164107,0,518110,0,507026,0
21,1785929196477,164099,0,518150,0,507026,0
22,1785929196487,164137,0,518109,0,506985,0
23,1785929196498,164223,0,518172,0,507032,0
24,1785929196507,164293,0,561827,0,507065,0
25,1785929196518,152368,0,554100,0,701122,0
26,1785929196527,152445,0,554138,0,701115,0
27,1785929196538,152514,0,554148,0,701121,0
28,1785929196549,152626,0,554122,0,701088,0
29,1785929196560,152656,0,554113,0,701103,0
30,1785929196567,152769,0,554150,0,701045,0
31,1785929196577,152844,0,554126,0,701065,0
32,1785929196587,152917,0,554106,0,701034,0
33,1785929196597,152973,0,554124,0,701013,0
34,1785929196607,153051,0,554132,0,701020,0
35,1785929196618,153120,0,554112,0,701027,0
36,1785929196627,153314,0,554109,0,701027,0
37,1785929196638,153362,0,554132,0,701015,0
38,1785929196647,153458,0,964821,0,1400131,0
39,1785929196657,35329,0,1068669,0,1401095,0
40,1785929196667,35518,0,1068704,0,1401130,0
41,1785929196678,35721,0,1068718,0,1401060,0
42,1785929196687,35920,0,1068701,0,1401073,0
43,1785929196698,36050,0,1068675,0,1401009,0
44,1785929196707,36019,0,1068686,0,1400946,0
45,1785929196720,35953,0,1068601,0,1400835,0
46,1785929196727,35623,0,1068589,0,1400804,0
47,1785929196738,35296,0,1068567,0,1400676,0
48,1785929196748,34965,0,1068554,0,1400613,0
49,1785929196758,34545,0,1068553,0,1400571,0
50,1785929196767,34229,0,1068520,0,1400493,0
51,1785929196778,33842,0,1068536,0,1400467,0
52,1785929196787,33586,0,5289106,0,7036610,0
53,1785929196798,14136,0,5317827,0,7002104,0
54,1785929196807,13058,0,5317928,0,7001876,0
55,1785929196818,12184,0,5318210,0,7002121,0
56,1785929196828,11798,0,5318521,0,7002330,0
57,1785929196838,11576,0,5318850,0,7002548,0
58,1785929196848,11445,0,5319266,0,7002827,0
59,1785929196858,11172,0,5319447,0,7003044,0
60,1785929196868,11387,0,5319520,0,7003144,0
61,1785929196881,11667,0,5319686,0,7003344,0
62,1785929196888,11968,0,5319856,0,7003669,0
63,1785929196898,12351,0,5319985,0,7004018,0
64,1785929196908,12891,0,5320273,0,7004490,0
65,1785929196918,13609,0,5320479,0,7004780,0
66,1785929196928,14533,0,5320551,0,7005001,0
67,1785929196938,15243,0,5320703,0,7005070,0
68,1785929196948,16237,0,5320724,0,7005420,0
69,1785929196958,16947,0,5320715,0,7005513,0
70,1785929196968,17943,0,5320722,0,7005429,0
71,1785929196978,18759,0,5320612,0,7005282,0
72,1785929196988,19482,0,5320597,0,7005339,0
73,1785929196998,20286,0,5320525,0,7005490,0
74,1785929197008,21069,0,5320591,0,7005524,0
75,1785929197019,22081,0,5320728,0,7005615,0
76,1785929197028,22673,0,5320985,0,7005758,0
77,1785929197040,23332,0,5320903,0,7005794,0
78,1785929197049,24054,0,5320916,0,7005952,0
79,1785929197059,24799,0,5320913,0,7006090,0
80,1785929197068,25288,0,5320846,0,7005863,0
81,1785929197078,25768,0,5320647,0,7005812,0
82,1785929197088,26487,0,5320580,0,7005665,0
83,1785929197099,26777,0,5320221,0,7005437,0
84,1785929197108,26937,0,5320236,0,7005452,0
85,1785929197119,27423,0,5320079,0,7005376,0
86,1785929197128,27902,0,5319969,0,7005444,0
87,1785929197140,28425,0,5320000,0,7005554,0
88,1785929197149,29270,0,5320195,0,7005895,0
89,1785929197159,30126,0,5320343,0,7006040,0
90,1785929197169,31063,0,5320592,0,7006320,0
91,1785929197180,32372,0,5320777,0,7006672,0
92,1785929197188,33498,0,5320890,0,7006785,0
93,1785929197201,34663,0,5321150,0,7007064,0
94,1785929197208,36006,0,5321219,0,7007391,0
95,1785929197219,37370,0,5321334,0,7007536,0
96,1785929197228,38563,0,5321373,0,7007619,0
97,1785929197239,40160,0,5321461,0,7007910,0
98,1785929197248,41448,0,5321512,0,7008064,0
99,1785929197259,42672,0,5321465,0,7008163,0
100,1785929197269,44077,0,5321545,0,7008249,0
101,1785929197279,45356,0,5321633,0,7008517,0
102,1785929197288,46682,0,5321606,0,7008505,0
103,1785929197299,48016,0,5321628,0,7008714,0
104,1785929197309,49224,0,5321688,0,7008864,0
105,1785929197319,50311,0,5321680,0,7008653,0
106,1785929197329,51048,0,5321350,0,7008487,0
107,1785929197340,51357,0,5321226,0,7008334,0
108,1785929197349,51138,0,5321094,0,7007858,0
109,1785929197361,50233,0,5320905,0,7007349,0
110,1785929197369,49145,0,5320852,0,7007053,0
111,1785929197379,47654,0,5320702,0,7006622,0
112,1785929197389,46199,0,5320418,0,7006391,0
113,1785929197399,44506,0,5320431,0,7006218,0
114,1785929197409,42827,0,5320188,0,7005537,0
115,1785929197421,40863,0,5319794,0,7005193,0
116,1785929197429,39050,0,5319578,0,7004887,0
117,1785929197439,37307,0,5319207,0,7004482,0
118,1785929197451,35631,0,5319005,0,7004171,0
119,1785929197459,34061,0,5318659,0,7004040,0
120,1785929197469,33144,0,5318508,0,7003893,0
121,1785929197479,32100,0,5318496,0,7003782,0
122,1785929197489,31324,0,5318326,0,7003735,0
123,1785929197500,30725,0,5318420,0,7003632,0
124,1785929197509,30525,0,5318167,0,7003712,0
125,1785929197523,30305,0,5318267,0,7003757,0
126,1785929197529,30124,0,5318036,0,7003617,0
127,1785929197540,30163,0,5317894,0,7003637,0
128,1785929197549,30147,0,5317763,0,7003545,0
129,1785929197560,30505,0,5317664,0,7003611,0
130,1785929197569,30723,0,5317566,0,7003846,0
131,1785929197581,31215,0,5317632,0,7003822,0
132,1785929197589,31593,0,5317583,0,7003894,0
133,1785929197600,32171,0,5317519,0,7003922,0
134,1785929197609,32665,0,5317561,0,7004000,0
135,1785929197620,33198,0,5317374,0,7004024,0
136,1785929197630,33697,0,5317304,0,7003937,0
137,1785929197640,34081,0,5317142,0,7003969,0
138,1785929197650,34145,0,5316919,0,7003730,0
139,1785929197661,34355,0,5316883,0,7003453,0
140,1785929197669,34642,0,5316590,0,7003525,0
141,1785929197681,34655,0,5316581,0,7003418,0
142,1785929197690,35026,0,5316323,0,7003216,0
143,1785929197700,35088,0,5316189,0,7003064,0
144,1785929197710,35298,0,5316108,0,7002908,0
145,1785929197721,35430,0,5316006,0,7003039,0
146,1785929197731,35770,0,5316061,0,7003111,0
147,1785929197740,36075,0,5315981,0,7003061,0
148,1785929197750,36483,0,5315859,0,7002907,0
149,1785929197763,36533,0,5315747,0,7003018,0
150,1785929197770,36895,0,5315690,0,7002869,0
151,1785929197781,37157,0,5315546,0,7003007,0
152,1785929197790,37720,0,5315664,0,7003038,0
153,1785929197800,38365,0,5315541,0,7003173,0
154,1785929197813,38954,0,5315571,0,7003299,0
155,1785929197822,39746,0,5315656,0,7003274,0
156,1785929197830,40410,0,5315704,0,7003375,0
157,1785929197849,41162,0,5315605,0,7003382,0
158,1785929197850,42021,0,5315585,0,7003537,0
159,1785929197864,42820,0,5315652,0,7003684,0
160,1785929197870,43884,0,5315767,0,7003765,0
161,1785929197881,44774,0,5315725,0,7003789,0
162,1785929197890,45846,0,5315756,0,7003987,0
163,1785929197901,46904,0,5315884,0,7004078,0
164,1785929197910,48161,0,5315976,0,7004441,0
165,1785929197921,49370,0,5315916,0,7004621,0
166,1785929197931,50408,0,5316073,0,7004686,0
167,1785929197941,51462,0,5316096,0,7004711,0
168,1785929197951,52204,0,5316032,0,7004481,0
169,1785929197962,52263,0,5315949,0,7004427,0
