sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
0,1785929338769,0,0,0,-1,0,-1
1,1785929338777,241116,0,601972,0,575920,0
2,1785929338788,240995,0,601906,0,575709,0
3,1785929338797,241043,0,601929,0,575625,0
4,1785929338815,240944,0,601847,0,575532,0
5,1785929338817,240860,0,601821,0,575496,0
6,1785929338829,240887,0,601829,0,575485,0
7,1785929338839,240868,0,601843,0,575463,0
8,1785929338848,240905,0,601790,0,575409,0
9,1785929338864,240905,0,601766,0,575362,0
10,1785929338869,240918,0,601715,0,575322,0
11,1785929338878,240920,0,601706,0,575287,0
12,1785929338888,240935,0,601712,0,575223,0
13,1785929338898,241079,0,601704,0,575198,0
14,1785929338916,241042,0,601706,0,575181,0
15,1785929338918,241144,0,601691,0,575205,0
16,1785929338930,241142,0,601689,0,575238,0
17,1785929338938,241209,0,601665,0,575184,0
18,1785929338949,241298,0,601625,0,575186,0
19,1785929338963,241320,0,601636,0,575151,0
20,1785929338969,241451,0,601664,0,575171,0
21,1785929338978,241482,0,601584,0,575156,0
22,1785929338993,241577,0,601584,0,575153,0
23,1785929338998,241598,0,601637,0,575110,0
24,1785929339010,241719,0,645301,0,575112,0
25,1785929339019,241832,0,607658,0,683394,0
26,1785929339029,25644,0,607623,0,744736,0
27,1785929339038,25784,0,607624,0,744738,0
28,1785929339049,25869,0,607594,0,744663,0
29,1785929339062,25942,0,607589,0,744662,0
30,1785929339069,25954,0,607543,0,744647,0
31,1785929339079,26144,0,607524,0,744611,0
32,1785929339089,26120,0,607560,0,744603,0
33,1785929339098,26235,0,607528,0,744621,0
34,1785929339111,26267,0,607480,0,744576,0
35,1785929339118,26442,0,607512,0,744521,0
36,1785929339129,26589,0,607523,0,744544,0
37,1785929339139,26570,0,607502,0,744547,0
38,1785929339151,26782,0,1131782,0,1530981,0
39,1785929339158,26830,0,1190809,0,1498037,0
40,1785929339169,-1643,0,1190847,0,1499962,0
41,1785929339178,-1439,0,1190829,0,1500013,0
42,1785929339189,-1293,0,1190821,0,1500028,0
43,1785929339199,-1047,0,1190800,0,1500007,0
44,1785929339209,-865,0,1190776,0,1499960,0
45,1785929339218,-595,0,1190742,0,1499984,0
46,1785929339229,-341,0,1190718,0,1499978,0
47,1785929339238,-139,0,1190701,0,1499958,0
48,1785929339249,135,0,1190702,0,1499930,0
49,1785929339258,254,0,1190752,0,1499945,0
50,1785929339269,565,0,1190723,0,1499970,0
51,1785929339279,804,0,1190745,0,1499996,0
52,1785929339290,1029,0,5865711,0,7529369,0
53,1785929339299,1160,0,5926934,0,7524617,0
54,1785929339311,9840,0,5926185,0,7506292,0
55,1785929339319,9188,0,5925377,0,7505030,0
56,1785929339329,7424,0,5924479,0,7503669,0
57,1785929339339,4573,0,5923837,0,7502328,0
58,1785929339349,775,0,5923034,0,7501168,0
59,1785929339359,-3354,0,5922500,0,7500166,0
60,1785929339369,-8258,0,5921813,0,7499280,0
61,1785929339379,-13269,0,5921288,0,7498304,0
62,1785929339389,-17898,0,5920870,0,7497443,0
63,1785929339399,-21850,0,5920432,0,7496462,0
64,1785929339410,-25522,0,5919987,0,7495585,0
65,1785929339419,-28513,0,5919719,0,7495129,0
66,1785929339430,-30645,0,5919511,0,7494574,0
67,1785929339439,-32671,0,5919182,0,7494384,0
68,1785929339450,-34214,0,5919123,0,7494175,0
69,1785929339459,-35434,0,5918892,0,7494054,0
70,1785929339472,-36390,0,5918745,0,7494033,0
71,1785929339480,-37091,0,5918475,0,7493564,0
72,1785929339489,-37757,0,5918226,0,7493140,0
73,1785929339499,-38278,0,5917881,0,7492551,0
74,1785929339510,-38852,0,5917667,0,7492132,0
75,1785929339519,-39358,0,5917626,0,7491929,0
76,1785929339529,-39868,0,5917398,0,7491650,0
77,1785929339539,-40444,0,5917264,0,7491425,0
78,1785929339550,-40772,0,5917099,0,7491375,0
79,1785929339559,-40635,0,5916969,0,7491100,0
80,1785929339569,-40903,0,5916904,0,7490999,0
81,1785929339579,-40848,0,5916456,0,7490685,0
82,1785929339590,-40896,0,5916296,0,7490339,0
83,1785929339599,-41031,0,5916030,0,7489924,0
84,1785929339610,-41004,0,5915595,0,7489500,0
85,1785929339619,-40954,0,5915411,0,7489196,0
86,1785929339632,-40986,0,5915153,0,7488859,0
87,1785929339640,-41273,0,5915106,0,7488573,0
88,1785929339650,-41511,0,5914784,0,7488599,0
89,1785929339659,-41817,0,5914579,0,7488145,0
90,1785929339670,-42242,0,5914224,0,7487859,0
91,1785929339679,-42656,0,5913908,0,7487614,0
92,1785929339690,-43091,0,5913543,0,7487026,0
93,1785929339701,-43337,0,5913294,0,7486579,0
94,1785929339710,-43529,0,5913021,0,7486376,0
95,1785929339719,-43685,0,5912833,0,7486153,0
96,1785929339730,-43731,0,5912554,0,7485890,0
97,1785929339739,-43609,0,5912427,0,7485992,0
98,1785929339750,-43621,0,5912352,0,7485729,0
99,1785929339759,-43565,0,5912249,0,7485345,0
100,1785929339771,-43143,0,5912119,0,7485391,0
101,1785929339780,-42961,0,5911865,0,7485172,0
102,1785929339793,-42356,0,5911907,0,7485143,0
103,1785929339800,-41834,0,5911712,0,7485048,0
104,1785929339810,-41027,0,5911737,0,7485191,0
105,1785929339820,-40360,0,5911680,0,7484979,0
106,1785929339830,-39662,0,5911714,0,7485188,0
107,1785929339840,-39041,0,5911801,0,7485427,0
108,1785929339850,-38297,0,5911655,0,7485508,0
109,1785929339860,-37562,0,5911645,0,7485350,0
110,1785929339870,-36625,0,5911551,0,7485353,0
111,1785929339880,-35822,0,5911555,0,7485394,0
112,1785929339891,-34606,0,5911493,0,7485454,0
113,1785929339900,-33809,0,5911503,0,7485528,0
114,1785929339911,-32791,0,5911663,0,7485835,0
115,1785929339920,-31848,0,5911607,0,7485872,0
116,1785929339931,-31070,0,5911498,0,7485891,0
117,1785929339940,-30179,0,5911515,0,7485854,0
118,1785929339954,-29221,0,5911595,0,7485999,0
119,1785929339961,-28121,0,5911544,0,7486105,0
120,1785929339971,-27317,0,5911561,0,7486361,0
121,1785929339981,-26605,0,5911553,0,7486302,0
122,1785929339991,-25704,0,5911453,0,7486433,0
123,1785929340000,-24752,0,5911612,0,7486535,0
124,1785929340011,-24058,0,5911548,0,7486386,0
125,1785929340020,-22855,0,5911472,0,7486574,0
126,1785929340031,-22025,0,5911321,0,7486670,0
